"timestamp","source","elapsedMs","message","urlapi"
"2019-10-18T02:06:07.071Z","DTSieuRe87","2601","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-2601-""Transfer-Encoding=chunked Connection=keep-alive timer-all=491ms timer-names=178ms code-server=mise-pric","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:02:47.203Z","DTSieuRe86","63","GetListStoreByDistrict-""http://172.16.2.26/api/v2/webapi/apiproduct/getstoreandproductcode?provinceID=3&districtID=0&brandID=10&productID=3""-63","http://172.16.2.26/api/v2/webapi/apiproduct/getstoreandproductcode?provinceID=3&districtID=0&brandID=10&productID=3"
"2019-10-18T02:03:36.342Z","DTSieuRe87","591","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 3, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-591-""Transfer-Encoding=chunked Connection=keep-alive timer-all=157ms timer-names=50ms code-server=mise-priceap","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:04:58.104Z","DTSieuRe86","3834","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-3834-""Transfer-Encoding=chunked Connection=keep-alive timer-all=1337ms timer-names=73ms code-server=mise-pric","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:05:10.512Z","DTSieuRe87","1843","GetListProductByListID-""http://172.16.2.26/api/v2/webapi/apiproduct/getproductbylistid""-para [200388, 200485, 196963, 198167, 207847, 200330, 167535, 203347, 209837, 211009] 1843","http://172.16.2.26/api/v2/webapi/apiproduct/getproductbylistid"
"2019-10-18T02:05:45.884Z","DTSieuRe87","1012","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-1012-""Transfer-Encoding=chunked Connection=keep-alive timer-all=679ms timer-names=35ms code-server=mise-pricea","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:06:03.101Z","DTSieuRe87","453","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-453-""Transfer-Encoding=chunked Connection=keep-alive timer-all=153ms code-server=mise-productapi-2-31/127.0.0.","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:06:15.084Z","DTSieuRe87","2309","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-2309-""Transfer-Encoding=chunked Connection=keep-alive timer-all=364ms timer-names=43ms code-server=mise-price","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:02:03.648Z","DTSieuRe87","3883","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-3883-""Transfer-Encoding=chunked Connection=keep-alive timer-all=1547ms timer-names=71ms code-server=mise-prod","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:01:21.414Z","DTSieuRe87","2052","GetListProductByListID-""http://172.16.2.26/api/v2/webapi/apiproduct/getproductbylistid""-para [200388, 200485, 196963, 198167, 207847, 200330, 167535, 203347, 209837, 211009] 2052","http://172.16.2.26/api/v2/webapi/apiproduct/getproductbylistid"
